,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
17517,53998529.0,Habit c baÃ±o Reforma Angel Independencia Zona Rosa,185238567,Marco,Unknown,CuauhtÃ©moc,19.43028,-99.16982,Entire home/apt,289.0,2.0,24.0,02/06/2022,4.42,14.0,362.0,24.0
17518,54005369.0,Depto. en el corazÃ³n de la Zona Rosa,437575799,Diego,Unknown,CuauhtÃ©moc,19.42892,-99.16313,Entire home/apt,700.0,3.0,1.0,30/12/2021,0.17,1.0,102.0,1.0
17520,54006840.0,Depa 3B en COYOACAN.,244012357,D. Rodolfo,Unknown,CoyoacÃ¡n,19.32364,-99.1352,Entire home/apt,350.0,3.0,3.0,01/05/2022,0.66,1.0,141.0,3.0
17521,54007252.0,Mr. W | Vista al Parque EspaÃ±a | Condesa |2BR,10764020,Mr. W,Unknown,CuauhtÃ©moc,19.41702,-99.17216,Entire home/apt,2423.0,1.0,8.0,09/06/2022,1.4,170.0,302.0,8.0
17522,54007275.0,Mr. W | Design | Top Location  | Condesa,10764020,Mr. W,Unknown,CuauhtÃ©moc,19.41724,-99.17136,Entire home/apt,2423.0,1.0,20.0,11/06/2022,3.59,170.0,352.0,20.0
17523,53907889.0,Cozy Townhouse 1 bedroom in Condesa,434186960,Jaime,Unknown,CuauhtÃ©moc,19.41186,-99.17948,Entire home/apt,2019.0,30.0,0.0,No_reviews,0.0,1.0,310.0,0.0
17524,54007302.0,Safe and luxurious apartment in Polanco,232005107,Veronica,Unknown,Miguel Hidalgo,19.44178,-99.20279,Entire home/apt,2000.0,1.0,3.0,08/01/2022,0.51,3.0,140.0,3.0
17525,53914961.0,1bedroom apt w private terrace & indoor fireplace,64971854,Ana Sophia,Unknown,CuauhtÃ©moc,19.41253,-99.16183,Entire home/apt,1543.0,4.0,2.0,04/05/2022,0.5,1.0,0.0,2.0
17526,54014323.0,Mr. W | Park Front 2BR | Top Location | fast WiFi,10764020,Mr. W,Unknown,CuauhtÃ©moc,19.41727,-99.17041,Entire home/apt,1514.0,1.0,4.0,17/05/2022,0.72,170.0,303.0,4.0
17527,54014465.0,Espectacular vista en loft Santa Fe,179800202,BnButler,Unknown,Cuajimalpa de Morelos,19.366716,-99.271652,Entire home/apt,699.0,1.0,1.0,15/05/2022,0.79,39.0,365.0,1.0
17528,54084441.0,Astonishing apartment in the heart of JuÃ¡rez,270372408,Andres,Unknown,CuauhtÃ©moc,19.42947,-99.16115,Entire home/apt,1475.0,2.0,6.0,13/06/2022,1.22,18.0,82.0,6.0
17529,53916194.0,Apartment Dowtown Mexico City SRE,391459954,Hugo Brauer Apartments,Unknown,CuauhtÃ©moc,19.43471,-99.14465,Entire home/apt,1084.0,1.0,0.0,No_reviews,0.0,3.0,345.0,0.0
17530,54090688.0,Mr.W | 2BR | Patio | Romandesa,77407057,Luis Carlos,Unknown,CuauhtÃ©moc,19.41991,-99.17438,Entire home/apt,2141.0,1.0,16.0,08/06/2022,2.91,9.0,354.0,16.0
17531,53916881.0,Green view | 3 Balconies | Condesa,416155974,YakarÃ©,Unknown,CuauhtÃ©moc,19.41537,-99.16771,Entire home/apt,1817.0,2.0,0.0,No_reviews,0.0,11.0,125.0,0.0
17533,54015213.0,"Amplio, luminoso y 
seguro depto en condominio",36379065,Alejandra,Unknown,Ãlvaro ObregÃ³n,19.31873,-99.22129,Entire home/apt,2000.0,1.0,7.0,12/06/2022,2.41,1.0,361.0,7.0
