,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2183,2884846.0,CARNAVAL/2022 na República da Urca RJ,14743853,Carlos,Unknown,Botafogo,-22.95561,-43.17294,Shared room,75,5,14,27/02/2020,0.15,6,352,0,Unknown
2200,3011905.0,Perto Maracanã,13452649,Hebert,Unknown,Engenho Novo,-22.91467,-43.26382,Shared room,65,7,0,No_reviews,0.0,2,365,0,Unknown
2305,3171416.0,"Guest House en Copacabana, RJ.",16084310,Pablo,Unknown,Copacabana,-22.96428,-43.18262,Shared room,310,1,0,No_reviews,0.0,1,365,0,Unknown
2323,3181127.0,Casa da Santa Room da Costa,4168313,Matthieu,Unknown,Santa Teresa,-22.915,-43.1916,Shared room,353,2,1,07/01/2022,0.18,5,365,1,Unknown
2380,3061183.0,Rooms for the world cup 2014 - RJ,15581556,Rita,Unknown,Tijuca,-22.91584,-43.22116,Shared room,1033,5,0,No_reviews,0.0,2,0,0,Unknown
2418,3316664.0,Hostel Guaratiba 1500m² de muito verde e segurança,15489992,Rodrigo,Unknown,Guaratiba,-22.97404,-43.58949,Shared room,110,5,0,No_reviews,0.0,3,358,0,Unknown
2543,3287793.0,Copacabana,16613801,Ale,Unknown,Copacabana,-22.96946,-43.18925,Shared room,98,2,4,24/04/2022,0.05,6,362,2,Unknown
2582,3479268.0,"Rent spot in Lapa, RJ",17525151,Rita,Unknown,Centro,-22.91744,-43.17754,Shared room,250,1,0,No_reviews,0.0,1,365,0,Unknown
2656,3571526.0,The living room: A family friendly environment,5743747,Kelly E,Unknown,Santa Teresa,-22.9163,-43.18733,Shared room,80,2,10,25/04/2022,0.11,4,365,4,Unknown
2657,3574920.0,A great and charming place in Rio.,716415,Daniel,Unknown,Santa Teresa,-22.91804,-43.17959,Shared room,170,2,0,No_reviews,0.0,2,363,0,Unknown
2728,4407521.0,Helping you to write your best story in Rio,14657456,Felipe,Unknown,Santa Teresa,-22.91509,-43.18252,Shared room,135,1,1,07/03/2021,0.06,2,0,0,Unknown
2891,4631856.0,CARNAVAL 2022 no Rio de Janeiro-,14743853,Carlos,Unknown,Urca,-22.95336,-43.1732,Shared room,75,5,7,03/01/2020,0.09,6,344,0,Unknown
2928,5195599.0,Carnaval 2022 -RJ/Urca -ULTIMAS VAGAS!!!,14743853,Carlos,Unknown,Botafogo,-22.95553,-43.17272,Shared room,150,3,4,24/02/2021,0.06,6,365,0,Unknown
