,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
13223,47705899.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46003,-99.14856,Shared room,200.0,28.0,0.0,No_reviews,0.0,72.0,365.0,0.0
13321,48052717.0,Departamento,387390558,Beatriz,Unknown,Ãlvaro ObregÃ³n,19.3399,-99.23574,Shared room,17066.0,365.0,0.0,No_reviews,0.0,1.0,365.0,0.0
13356,47917770.0,Sofa-cama en departamento,6203086,Jose,Unknown,Benito JuÃ¡rez,19.3671,-99.17757,Shared room,290.0,2.0,0.0,No_reviews,0.0,4.0,364.0,0.0
13429,47935106.0,Aparta tu cama en dormitorio compartido,350569707,HÃ©ctor Manuel,Unknown,CuauhtÃ©moc,19.42908,-99.13632,Shared room,206.0,1.0,0.0,No_reviews,0.0,3.0,365.0,0.0
13573,48594766.0,Welcome to my house freinds!,207240505,Luis,Unknown,CuauhtÃ©moc,19.46251,-99.14379,Shared room,212.0,28.0,0.0,No_reviews,0.0,72.0,180.0,0.0
13574,48595057.0,"My house is your house, you are welcome!",207240505,Luis,Unknown,CuauhtÃ©moc,19.45959,-99.14789,Shared room,207.0,28.0,4.0,01/05/2022,0.58,72.0,179.0,4.0
13578,48595475.0,Shared Room,207240505,Luis,Unknown,CuauhtÃ©moc,19.46008,-99.14846,Shared room,200.0,28.0,0.0,No_reviews,0.0,72.0,179.0,0.0
13581,48595542.0,Shared room,207240505,Luis,Unknown,CuauhtÃ©moc,19.45951,-99.14682,Shared room,200.0,28.0,2.0,14/08/2021,0.15,72.0,365.0,1.0
13626,48622271.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.46011,-99.14852,Shared room,202.0,28.0,0.0,No_reviews,0.0,72.0,365.0,0.0
13657,48639930.0,Single and shared rooms near downtown.,207240505,Luis,Unknown,CuauhtÃ©moc,19.4612,-99.14839,Shared room,200.0,28.0,0.0,No_reviews,0.0,72.0,365.0,0.0
13700,48364223.0,"Vive lo natural dentro  CDMX, exclusivo mujeres..",390395577,Marcelo,Unknown,Tlalpan,19.20109,-99.15176,Shared room,211.0,30.0,0.0,No_reviews,0.0,1.0,365.0,0.0
13750,48715981.0,"Sofa-bed,great location(Reforma-Ãngel) Living room",44172701,Mario,Unknown,CuauhtÃ©moc,19.42304,-99.16966,Shared room,262.0,2.0,36.0,27/04/2022,2.66,1.0,356.0,30.0
13841,49096601.0,La casa de los Michis,395969887,R. JazmÃ­n,Unknown,Iztapalapa,19.35898,-99.11076,Shared room,250.0,1.0,0.0,No_reviews,0.0,1.0,364.0,0.0
