,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13376,38694490.0,1 quarto 15 minutos do parque olímpico da Barra,79752753,Luciene,Unknown,Jacarepaguá,-22.96301,-43.39233,Private room,300,2,0,No_reviews,0.0,1,363,0,Unknown
13381,38927435.0,Suite em moderno apartamento - Barra da Tijuca,49742516,Leonardo,Unknown,Barra da Tijuca,-22.99807,-43.41702,Private room,205,30,4,10/11/2019,0.12,2,90,0,Unknown
13385,38431789.0,Quarto temporada (ROCK IN RIO 2019),292913215,Francis,Unknown,Itanhangá,-22.97936,-43.32915,Private room,150,2,0,No_reviews,0.0,1,365,0,Unknown
13386,38432186.0,Cantinho Charmoso,289961267,Laura,Unknown,Botafogo,-22.95573,-43.19329,Private room,400,2,0,No_reviews,0.0,1,364,0,Unknown
13393,38931677.0,Hotel Barra da Tijuca quarto 3,297672983,Hotel,Unknown,Barra da Tijuca,-23.00894,-43.30062,Private room,158,1,3,26/02/2020,0.09,9,359,0,Unknown
13396,38434094.0,Quarto Ipanema  + ap compartilhado 💜,123117020,Bianca,Unknown,Ipanema,-22.98396,-43.20084,Private room,120,2,2,07/05/2022,0.42,1,351,2,Unknown
13399,38933168.0,Cantinho da Preta,180583620,Aline,Unknown,Recreio dos Bandeirantes,-23.00865,-43.48535,Private room,150,1,1,06/10/2019,0.03,3,4,0,Unknown
13403,38447519.0,Suite Solteiro Flat RioStay Riocentro_Stay'nRio,22240461,Tatiana,Unknown,Jacarepaguá,-22.97519,-43.41277,Private room,242,2,21,23/01/2022,0.62,13,136,8,Unknown
13404,38451508.0,Apartamento encantador em Ipanema,37688043,Rick,Unknown,Copacabana,-22.98313,-43.19509,Private room,66,3,2,12/06/2022,1.25,1,299,2,Unknown
13405,38454322.0,"Casa Babilônia - Suite Amarela, 3 hóspedes",6687502,Casa Babilônia,Unknown,Leme,-22.96151,-43.16929,Private room,290,2,1,24/04/2022,0.51,9,355,1,Unknown
13410,38723192.0,Suíte e Salão de Estar★Vista para Cristo Redentor,22713969,Maria,Unknown,Santa Teresa,-22.93585,-43.19893,Private room,1000,2,0,No_reviews,0.0,36,0,0,Unknown
13412,38725956.0,"Praia, cachoeira e Rock in Rio",83714303,Catia,Unknown,Taquara,-22.91657,-43.39286,Private room,66,1,10,01/03/2022,0.3,2,358,6,Unknown
13416,38728523.0,Amplas Suítes com vista panorâmica e piscina,11595507,Magda,Unknown,Vargem Grande,-22.99501,-43.50725,Private room,250,5,0,No_reviews,0.0,1,364,0,Unknown
13418,38461644.0,Quarto Copacabana ótima localização. Quadra praia,286974587,Rosa,Unknown,Copacabana,-22.97361,-43.18782,Private room,160,3,0,No_reviews,0.0,3,181,0,Unknown
13422,38946273.0,Excelente quarto de solteiro!,12237866,Adriana,Unknown,Barra da Tijuca,-22.97312,-43.39394,Private room,120,1,4,28/05/2022,0.12,2,80,2,Unknown
13423,38948545.0,Hotel Barra da Tijuca quarto 4,297672983,Hotel,Unknown,Barra da Tijuca,-23.00951,-43.30042,Private room,158,1,0,No_reviews,0.0,9,362,0,Unknown
13424,38950247.0,Lindo quarto para casal com terraço em Ipanema,823800,Rafaella,Unknown,Ipanema,-22.98374,-43.20014,Private room,220,2,15,05/04/2022,0.5,19,172,12,Unknown
13435,38955877.0,Hotel Barra da Tijuca quarto 5,297672983,Hotel,Unknown,Barra da Tijuca,-23.0099,-43.29825,Private room,158,1,8,13/02/2022,0.24,9,355,3,Unknown
13450,38758591.0,Quarto de Casal ★com vista para o Cristo Redentor,22713969,Maria,Unknown,Santa Teresa,-22.93598,-43.19994,Private room,300,2,0,No_reviews,0.0,36,0,0,Unknown
13452,38960474.0,Aluguel de Loft Segundo Andar,162225963,Luiza,Unknown,Recreio dos Bandeirantes,-23.01857,-43.47043,Private room,250,1,0,No_reviews,0.0,1,77,0,Unknown
13456,38960989.0,Hotel Barra da Tijuca quarto 6,297672983,Hotel,Unknown,Barra da Tijuca,-23.01022,-43.30017,Private room,158,1,2,06/10/2019,0.06,9,359,0,Unknown
13458,38968689.0,"QUARTO,AR,WIFI,CHURRASQUEIRA,POSTO 10 IPANEMA",109953696,Marcos,Unknown,Ipanema,-22.98478,-43.21125,Private room,250,6,2,03/03/2020,0.06,2,357,0,Unknown
13459,38970461.0,Aconchego em Santa Teresa - vista Pão de Açúcar.,13919301,Beatriz,Unknown,Santa Teresa,-22.91918,-43.18304,Private room,180,2,1,12/01/2020,0.03,2,178,0,Unknown
13461,38973112.0,Suíte para casal com terraço,44836673,Leo,Unknown,São Cristóvão,-22.89096,-43.2213,Private room,69,1,36,18/06/2022,1.24,5,297,23,Unknown
